,pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
80,45.0,21267,-60.0,-85.9,100.0,37.0,-36.437886861451695,6.424982573676421,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
81,41.0,21847,-61.3,-90.3,75.0,23.0,-22.21629400464857,-5.952838037357977,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
82,39.8,22032,-61.7,-91.7,81.0,26.0,-25.679896855473583,-4.067296091046004,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
83,38.0,22321,-60.7,-91.0,90.0,30.0,-30.0,-1.83697019872103e-15,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
84,35.0,22835,-58.9,-89.7,75.0,8.0,-7.7274066103125465,-2.070552360820166,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
85,34.1,22998,-58.3,-89.3,68.0,13.0,-12.053390109368237,-4.8698857144068555,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
86,33.0,23203,-59.0,-90.0,60.0,20.0,-17.32050807568877,-10.000000000000002,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
87,30.0,23800,-61.1,-92.1,90.0,30.0,-30.0,-1.83697019872103e-15,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
88,29.1,23989,-61.7,-91.7,99.0,28.0,-27.655273536663856,4.380165021126463,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
89,28.0,24228,-60.3,-91.1,110.0,26.0,-24.43200814043362,8.892523726467386,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
90,27.7,24295,-59.9,-90.9,,,,,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
